symbol,exchange,segment,last_price,open,day_high,day_low,previous_close,day_change,day_change_perc,volume,market_cap,average_price,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,error
RELIANCE,,,,,,,,,,,,,,,,,"Groww candle request for RELIANCE failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
TCS,,,,,,,,,,,,,,,,,"Groww candle request for TCS failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
HDFCBANK,,,,,,,,,,,,,,,,,"Groww candle request for HDFCBANK failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
ICICIBANK,,,,,,,,,,,,,,,,,"Groww candle request for ICICIBANK failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
INFY,,,,,,,,,,,,,,,,,"Groww candle request for INFY failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
HINDUNILVR,,,,,,,,,,,,,,,,,"Groww candle request for HINDUNILVR failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
ITC,,,,,,,,,,,,,,,,,"Groww candle request for ITC failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
SBIN,,,,,,,,,,,,,,,,,"Groww candle request for SBIN failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
BHARTIARTL,,,,,,,,,,,,,,,,,"Groww candle request for BHARTIARTL failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
KOTAKBANK,,,,,,,,,,,,,,,,,"Groww candle request for KOTAKBANK failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
LT,,,,,,,,,,,,,,,,,"Groww candle request for LT failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
AXISBANK,,,,,,,,,,,,,,,,,"Groww candle request for AXISBANK failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
BAJFINANCE,,,,,,,,,,,,,,,,,"Groww candle request for BAJFINANCE failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
ASIANPAINT,,,,,,,,,,,,,,,,,"Groww candle request for ASIANPAINT failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
MARUTI,,,,,,,,,,,,,,,,,"Groww candle request for MARUTI failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
HCLTECH,,,,,,,,,,,,,,,,,"Groww candle request for HCLTECH failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
SUNPHARMA,,,,,,,,,,,,,,,,,"Groww candle request for SUNPHARMA failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
TITAN,,,,,,,,,,,,,,,,,"Groww candle request for TITAN failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
ULTRACEMCO,,,,,,,,,,,,,,,,,"Groww candle request for ULTRACEMCO failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
WIPRO,,,,,,,,,,,,,,,,,"Groww candle request for WIPRO failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
NESTLEIND,,,,,,,,,,,,,,,,,"Groww candle request for NESTLEIND failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
ONGC,,,,,,,,,,,,,,,,,"Groww candle request for ONGC failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
NTPC,,,,,,,,,,,,,,,,,"Groww candle request for NTPC failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
POWERGRID,,,,,,,,,,,,,,,,,"Groww candle request for POWERGRID failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
M&M,,,,,,,,,,,,,,,,,"Groww candle request for M&M failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
TATAMOTORS,,,,,,,,,,,,,,,,,"Groww candle request for TATAMOTORS failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
TATASTEEL,,,,,,,,,,,,,,,,,"Groww candle request for TATASTEEL failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
